 tip2015_sort_nat_MSortBU2Count; b'unsat\n'
 tip2015_nat_le_antisym; b'unsat\n'
 false_regexp_find2; TIMEOUT
 false_graph_p11; b'sat\n'
 tip2015_sort_StoogeSort2Count; b'unsat\n'
 isaplanner_prop_77; b'unsat\n'
 false_mergesort_merge_comm; b'unsat\n'
 tip2015_nat_boring_max_min_distrib; b'unsat\n'
 false_regexp_star_plus; TIMEOUT
 tip2015_sort_nat_TSortIsSort; b'unsat\n'
 tip2015_propositional_Sound; b'unsat\n'
 tip2015_sort_nat_NStoogeSort2Sorts; b'unsat\n'
 tip2015_list_nat_append_inj_1; b'unsat\n'
 tip2015_relaxedprefix_is_prefix_1; TIMEOUT
 tip2015_sort_nat_StoogeSortIsSort; b'unsat\n'
 false_regexp_find7; TIMEOUT
 prod_prop_09; b'unsat\n'
 tip2015_sort_StoogeSort2IsSort; b'unsat\n'
 prod_prop_18; b'unsat\n'
 tip2015_nat_le_trans; b'unsat\n'
 prod_prop_27; b'unsat\n'
 tip2015_sort_nat_TSortCount; b'unsat\n'
 tip2015_sort_StoogeSortCount; b'unsat\n'
 tip2015_sort_nat_BubSortIsSort; b'unsat\n'
 false_productive_use_of_failure_drop_inj1; b'unsat\n'
 isaplanner_prop_53; b'unsat\n'
 tip2015_bin_nat_times; b'unsat\n'
 tip2015_regexp_Reverse; TIMEOUT
 tip2015_int_right_distrib; b'unsat\n'
 false_regexp_star_plus_1; TIMEOUT
 prod_prop_41; b'unsat\n'
 tip2015_nat_le_ge_eq; b'unsat\n'
 prod_prop_36; b'unsat\n'
 tip2015_relaxedprefix_is_prefix_3; TIMEOUT
 false_regexp_deluxe_FromToConj_difficult; b'unsat\n'
 isaplanner_prop_20; b'unsat\n'
 isaplanner_prop_03; b'unsat\n'
 false_regexp_star_plus_2; TIMEOUT
 false_queue3_QueueR; TIMEOUT
 false_regexp_kfind1; TIMEOUT
 isaplanner_prop_74; b'unsat\n'
 false_productive_use_of_failure_rot_uhhhw1; b'unsat\n'
 tip2015_nat_lt_ne; b'unsat\n'
 isaplanner_prop_15; b'unsat\n'
 grammars_simp_expr_unambig5; TIMEOUT
 false_productive_use_of_failure_len_bs; b'unsat\n'
 tip2015_nat_boring_min_assoc; b'unsat\n'
 false_graph_t5; TIMEOUT
 false_regexp_star_plus_easy; TIMEOUT
 tip2015_sort_HSortSorts; b'unsat\n'
 prod_prop_17; b'unsat\n'
 isaplanner_prop_19; b'unsat\n'
 isaplanner_prop_83; b'unsat\n'
 tip2015_tree_SwapAB; b'unsat\n'
